Key Result,Priority,Status,dynamic timeline,Target Date,KR type,Progress Percentage,projects,pillars (initiatives),objectives,metric/target
YNM/pr - email list CTA,essential,Not started,🟢 this Q1-'25,03/31/2025,effort (rep/push/drive),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - book proposal,essential,Not started,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/s - develop 1st signature talks book 3x,essential,Not started,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - speaking & live engagements (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20speaking%20&%20live%20engagements%201b66509554a7802bbe37d3879ba5dfc9.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - raw material,essential,In progress,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
bizNaz - read Henry Shi’s AI doc,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - try 10 prototypes,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - apply to 10 jobs,essential,In progress,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - pitch 10 clients,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - advise Leo,reach,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
bizNaz - define investor thesis,supporting,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
lifeZtyle - 35th BoCo bday,essential,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
lifeZtyle 35th SB birthday,essential,Not started,🔵 this Q2-'25,05/31/2025,,,,,,
bizNaz - get onto Invisible cap table,reach,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Investing & Wealth-Building (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Investing%20&%20Wealth-Building%201bb6509554a7801dafddef8778e35de2.md),,
bizNaz - get onto offsite captable,reach,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Investing & Wealth-Building (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Investing%20&%20Wealth-Building%201bb6509554a7801dafddef8778e35de2.md),,
